nazwa;autorzy;tekst na certyfikat;ankieta przed;wymagania instalacyjne
administracja-serwerem-jboss;lukasz-andrzejewski;ok;brak;ok
administracja-serwerem-tomcat;lukasz-andrzejewski;ok;brak;ok
agile-software-development;pragmatists;brak;brak;brak
agile-testing;krystian-kaczor;brak;brak;brak
analityk-it-wprowadzenie-do-zawodu;karolina-zmitrowicz;brak;brak;brak
analiza-biznesowa-przygotowanie-do-certyfikacji-ccba;karolina-zmitrowicz;brak;brak;brak
analiza-biznesowa-w-praktyce;karolina-zmitrowicz;brak;brak;brak
analiza-danych-tekstowych-i-jezyka-naturalnego;marek-kozlowski, patryk-pilarski;brak;brak;brak
analiza-danych-w-jezyku-r;agnieszka-jamer;brak;brak;brak
analiza-danych-z-uzyciem-apache-spark;patryk-pilarski;brak;brak;ok
analiza-kodu-za-pomoca-sonarqube;michal-kordulewski;brak;brak;brak
analiza-numeryczna-w-python;matt-harasymczuk;ok;brak;brak
analiza-oraz-zabezpieczanie-przed-szkodliwym-kodem-w-praktyce;sebastian-chmielewski;brak;brak;brak
analizy-przestrzenne-w-qgis;rafal-smyk, barbara-wawrzyniak, tomasz-gorka, marcin-lis, monika-wojdynska, magdalena-piechocka;brak;brak;brak
android-podstawy-tworzenia-aplikacji;lukasz-andrzejewski;ok;ok;ok
android-zaawansowane-tworzenie-aplikacji;lukasz-andrzejewski;ok;ok;ok
apache-kafka-wprowadzenie-do-architektury-sterowanej-zdarzeniami;damian-warszawski;brak;brak;ok
apache-spark-z-wykorzystaniem-jezyka-python;patryk-pilarski;brak;brak;brak
apache-spark-z-wykorzystaniem-jezyka-scala;krzysztof-jankiewicz;brak;brak;brak
arcgis-szkolenie-podstawowe;rafal-smyk, barbara-wawrzyniak, tomasz-gorka, marcin-lis, monika-wojdynska, magdalena-piechocka;brak;brak;brak
architektura-mikroserwisow-z-wykorzystaniem-spring-cloud;lukasz-andrzejewski;brak;brak;brak
architektura-systemow;michal-podbielski;ok;brak;ok
architektura-systemow-dla-analitykow;michal-podbielski;ok;brak;brak
asp.net-mvc-i-webapi;szymon-kulec;brak;brak;brak
automatyzacja-i-zarzadzenie-procesami-z-uzyciem-spring-batch;marcin-chrost;ok;ok;ok
automatyzacja-testow-funkcjonalnych-aplikacji-internetowych-z-uzyciem-selenium-java;jakub-szewczyk;ok;ok;ok
automatyzacja-testow-funkcjonalnych-aplikacji-internetowych-z-uzyciem-selenium-robotframework;sebastian-chmielewski, jakub-szewczyk;ok;ok;ok
automatyzacja-testow-funkcjonalnych-serwisow-rest-api-java;jakub-szewczyk;brak;ok;brak
automatyzacja-testow-funkcjonalnych-serwisow-rest-api-postman;jakub-szewczyk;brak;ok;brak
automatyzacja-testow-w-procesie-wytwarzania-oprogramowania;jakub-szewczyk;ok;ok;ok
aws-lambda-tworzenie-aplikacji;kamil-klimaszewski;ok;brak;brak
bazy-danych-nosql-cassandra;tomasz-fortuna;brak;brak;brak
bazy-danych-nosql-mongodb;rafal-kaszczuk;ok;brak;brak
bazy-danych-nosql-redis;lukasz-dunal;brak;brak;brak
bdd-testy-akceptacyjne-z-wykorzystaniem-cucumber-jvm;jakub-szewczyk;brak;brak;brak
bezpieczenstwo-aplikacji-internetowych-w-php;jakub-lukasik;brak;brak;brak
bezpieczenstwo-aplikacji-w-oparciu-o-spring-security;lukasz-andrzejewski;brak;brak;brak
bezpieczenstwo-w-chmurze;kamil-mrzyglod;ok;ok;ok
bezpieczny-kod-java-w-oparciu-o-wytyczne-cert-i-oracle;piotr-nazimek;ok;brak;ok
bezpieczny-kod-w-oparciu-o-wytyczne-misra-c;piotr-nazimek;ok;brak;ok
big-data-i-platforma-hadoop-wprowadzenie;krzysztof-jankiewicz;brak;brak;brak
blockchain-i-poufnosc-w-praktyce-na-przykladzie-quorum;piotr-nazimek;ok;brak;ok
budowa-i-architektura-zlozonych-systemow-w-jezyku-cpp;tomasz-jasiukiewicz;brak;brak;brak
budowanie-aplikacji-react-przy-wykorzystaniu-jezyka-typescript;tomasz-sulkowski;brak;brak;brak
budowanie-aplikacji-w-jezyku-elm;mikolaj-kubera;ok;ok;ok
budowanie-aplikacji-webowych-w-chmurze-aws;radowslaw-jozefowicz;brak;brak;brak
budowanie-aplikacji-webowych-w-microsoft-azure;kamil-mrzyglod;ok;ok;brak
budowanie-efektywnych-zespolow;bartosz-broda, dominika-miodonska;brak;brak;brak
budowanie-rozwiazan-serverless-faas-w-chmurze-aws;rodoslaw-jozefowicz;brak;brak;brak
budowanie-rozwiazan-serverless-faas-w-chmurze-azure;kamil-mrzyglod;brak;brak;brak
budowanie-silnikow-wyszukiwania-w-oparciu-o-usluge-azure-search;kamil-mrzyglod;ok;brak;brak
certied-data-center-specialist;;brak;brak;brak
certified-data-center-expert-cdce;;brak;brak;brak
certified-data-center-facilities-operations-manager-cdfom;;brak;brak;brak
certified-data-center-migration-specialist-cdms;;brak;brak;brak
certified-data-center-professional-cdcp;;brak;brak;brak
certified-information-technology-manager-citm;;brak;brak;brak
certyfikowany-administrator-kubertnetesa;patryk-wolski;ok;ok;ok
certyfikowany-administrator-sysops-aws;patryk-wolski;ok;brak;ok
certyfikowany-architekt-aws;patryk-wolski;ok;ok;brak
certyfikowany-programista-aplikacji-kubernetes;patryk-wolski;ok;ok;ok
certyfikowany-programista-aws;patryk-wolski;ok;ok;brak
chmura-dla-biznesu;kamil-mrzyglod;brak;brak;ok
confluence-jako-narzedzie-wspierajace-zarzadzanie-trescia;karol-kapica;brak;brak;brak
continous-integration-z-wykorzystaniem-jenkins;kamil-klimaszewski;brak;brak;brak
data-scraping-i-bazy-danych-w-pythonie;patryk-palej;ok;brak;brak
deep-learning;norbert-ryciak;ok;ok;ok
deep-learning-w-przetwarzaniu-jezyka-naturalnego.md;norbert-ryciak;ok;ok;ok
design-gier-komputerowych;mateusz-kietlinski;brak;brak;ok
design-poziomow-w-unreal-engine;mateusz-kietlinski;brak;brak;ok
design-thinking-skuteczne-techniki-warsztatowe-w-ux;lukasz-szadkowski;brak;brak;brak
devops-foundations;tomek-pajak;brak;brak;brak
devops-zwinne-dostarczanie-aplikacji;patryk-wolski;brak;brak;brak
dobre-praktyki-programowania-obiektowego-w-jezyku-c-plus-plus;patrycja-wegrzynowicz;brak;brak;brak
docker-w-praktyce;krzysztof-suszynski;brak;brak;brak
dzialanie-i-wykorzystanie-blockchain;piotr-nazimek;ok;brak;ok
dzialanie-konfiguracja-i-zastosowanie-beaconow;piotr-nazimek;brak;brak;ok
efektywne-prowadzenie-szkolen-na-odleglosc;piotr-nazimek;ok;brak;brak
efektywnosc-osobista-w-branzy-it;bartosz-broda, dominika-miodonska;brak;brak;brak
egzamin-iqbba-poziom-podstawowy;karolina-zmitrowicz;brak;brak;brak
elasticsearch-od-podstaw-do-zagadnien-zaawansowanych;tomasz-sobczak;brak;brak;brak
enterprise-architect-narzedzie-do-modelowania;michal-podbielski;ok;brak;brak
enterprise-linux-network-services-gl275;;brak;brak;brak
enterprise-linux-system-administration-gl250;;brak;brak;brak
entity-framework-core-2.0;rafal-kaszczuk;brak;brak;ok
flutter-w-praktyce;lukasz-andrzejewski;brak;brak;brak
frontend-solidne-podstawy;tomasz-sukowski;brak;brak;brak
full-stack-firebase;tomasz-sulkowski;brak;brak;brak
full-stack-monorepo;piotr-blaszczak;brak;brak;ok
funkcyjne-programowanie-w-javascript;mikolaj-kubera;ok;ok;ok
gatsby-statyczne-strony-i-dynamiczne-aplikacje;tomasz-sulkowski;brak;brak;brak
geoext-tworzenie-interaktywnych-map-na-stronach-internetowych;patryk-sosinski;brak;brak;brak
geomarketing-dla-biznesu-podstawy-wykorzystania-danych-przestrzennych-w-marketingu-i-planowaniu-strategicznym-przesiebiorstwa;rafal-smyk, barbara-wawrzyniak, tomasz-gorka, marcin-lis, monika-wojdynska, magdalena-piechocka-gepol;brak;brak;brak
gis-w-reklamie-mediach-i-rozrywce;rafal-smyk, barbara-wawrzyniak, marcin-lis, monika-wojdynska-gepol;brak;brak;brak
helm-menedzer-pakietow-aplikacji-w-kubernetes;patryk-wolski;brak;brak;brak
ibuq-poziom-podstawowy-foundation-level-egzamin;karolina-zmitrowicz;brak;brak;brak
ibuq-poziom-podstawowy-szkolenie-i-egzamin;karolina-zmitrowicz;brak;brak;brak
implementacja-dapps-w-ethereum-z-wykorzystaniem-kontraktow-w-solidity;piotr-nazimek;ok;brak;ok
infrastructure-as-code-w-microsoft-azure;kamil-mrzyglod;ok;ok;ok
infrastruktura-klucza-publicznego;piotr-nazimek;ok;brak;ok
integracja-aplikacji-korporacyjnych-na-przykladzie-apache-camel;lukasz-andrzejewski;brak;brak;brak
interpretowalne-uczenie-maszynowe;alicja-gosiewska, mateusz-staniak;brak;brak;brak
inzynieria-odwrotna-kodu-w-systemach-windows-i-linux-oraz-metody-zabezpieczania-programow;sebastian-chmielewski;brak;brak;brak
ios-podstawy-tworzenia-aplikacji;lukasz-andrzejewski;ok;ok;ok
ios-zaawansowane-tworzenie-aplikacji;lukasz-andrzejewski;ok;ok;ok
iqbba-poziom-podstawowy-szkolenie-z-egzaminem-certyfikacyjnym;karolina-zmitrowicz;brak;brak;brak
ireb-cpre-advanced-level-requirements-elicitation-szkolenie;karolina-zmitrowicz;brak;brak;brak
ireb-cpre-advanced-level-requirements-elicitation-szkolenie-i-egzamin;karolina-zmitrowicz;brak;brak;brak
ireb-cpre-advanced-level-requirements-modeling-szkolenie;karolina-zmitrowicz;brak;brak;brak
ireb-cpre-advanced-level-requirements-modeling-szkolenie-i-egzamin;karolina-zmitrowicz;brak;brak;brak
ireb-foundation-level;karolina-zmitrowicz;brak;brak;brak
ireb-foundation-level-egzamin;karolina-zmitrowicz;brak;brak;brak
ireb-foundation-level-szkolenie-i-egzamin;karolina-zmitrowicz;brak;brak;brak
ireb-re-at-agile-agile-pprimer-szkolenie-i-egzamin;karolina-zmitrowicz;brak;brak;brak
istio-w-praktyce;lukasz-andrzejewski;brak;brak;brak
istqb-advanced-level-technical-test-analyst-egzamin;adam-roman;brak;brak;brak
istqb-advanced-level-technical-test-analyst-szkolenie;adam-roman;brak;brak;brak
istqb-advanced-level-technical-test-analyst-szkolenie-i-egzamin;adam-roman;brak;brak;brak
istqb-advanced-level-test-analyst-egzamin;adam-roman;brak;brak;brak
istqb-advanced-level-test-analyst-szkolenie;adam-roman;brak;brak;brak
istqb-advanced-level-test-analyst-szkolenie-i-egzamin;adam-roman;brak;brak;brak
istqb-advanced-level-test-manager-egzamin;karolina-zmitrowicz;brak;brak;brak
istqb-advanced-level-test-manager-szkolenie;karolina-zmitrowicz;brak;brak;brak
istqb-advanced-level-test-manager-szkolenie-i-egzamin;karolina-zmitrowicz;brak;brak;brak
istqb-agile-tester;krystian-kaczor;brak;brak;brak
istqb-foundation-level-egzamin;karolina-zmitrowicz;brak;brak;brak
istqb-foundation-level-szkolenie;karolina-zmitrowicz;brak;brak;brak
istqb-foundation-level-szkolenie-i-egzamin;karolina-zmitrowicz;brak;brak;brak
itil-4-foundation;;brak;brak;brak
itil-continual-service-improvement;;brak;brak;brak
itil-foundation-for-it-service-management;;brak;brak;brak
itil-managing-across-the-lifecycle;;brak;brak;brak
itil-operational-support-and-analysis;;brak;brak;brak
itil-planning-protection-and-optimization;;brak;brak;brak
itil-practitioner;;brak;brak;brak
itil-release-control-and-validation;;brak;brak;brak
itil-service-design;;brak;brak;brak
itil-service-offerings-and-agreements;;brak;brak;brak
itil-service-operation;;brak;brak;brak
itil-service-strategy;;brak;brak;brak
itil-service-transition;;brak;brak;brak
jak-rekrutowac-specjalistow-w-branzy-it;lukasz-losin, martyna-wojcik;brak;brak;brak
jira-administracja-systemem-wspomagajacym-sledzenie-bledow-i-zarzadzanie-projektem;augustyn-konczak;brak;brak;brak
jira-prowadzenie-i-praca-w-projekcie-agile;matt-harasymczuk;ok;ok;brak
kafka-i-wzorzec-publish-subscribe;wojciech-siekiera;brak;brak;ok
konfiguracja-protokolu-ssl-i-tls;piotr-nazimek;ok;brak;ok
kontrola-wersji-z-git;piotr-nazimek;ok;brak;ok
korporacyjna-magistrala-uslug-na-przykladzie-apache-servicemix;lukasz-dunal;brak;brak;brak
korporacyjna-magistrala-uslug-na-przykladzie-mule-esb;pawel-pietrasz;brak;brak;brak
kryptografia-na-platformie-dot-net-w-praktyce;piotr-nazimek;ok;brak;ok
kryptografia-na-platformie-java-w-praktyce;piotr-nazimek;ok;brak;ok
kubernetes-w-praktyce;patryk-wolski;brak;brak;brak
leaflet-tworzenie-interaktywnych-map-na-stronach-internetowych;patryk-sosinski;brak;brak;brak
lepszy-kod-dzieki-technikom-refaktoryzacji-i-wzorcom-projektowym;sebastian-malaca, tomasz-pajak;brak;brak;brak
linux-dla-testerow-oprogramowania;kamil-szymanski;ok;brak;ok
linux-for-unix-administrators-gl615;;brak;brak;brak
linux-fundamentals-gl120;;brak;brak;brak
linux-w-systemach-wbudowanych;michal-galka;brak;brak;brak
machine-learning-and-deep-learning;wojciech-stokowiec;brak;brak;brak
mapinfo-szkolenie-podstawowe;rafal-smyk, barbara-wawrzyniak, marcin-lis, monika-wojdynska;brak;brak;brak
